movieId,mean,count,weighted_score,title,genres,IMAX,Children,Action,Fantasy,Thriller,Sci-Fi,Comedy,Film-Noir,(no genres listed),Documentary,Animation,Horror,Adventure,Romance,Crime,Mystery,War,Musical,Drama,Western
1,3.959322693655119,2569,3.9543586567589024,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2,3.2683982683982684,1155,3.275002657313406,Jumanji (1995),Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3.1868613138686133,685,3.2012281803026386,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,3.0,138,3.0945127911689676,Waiting to Exhale (1995),Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
5,3.143835616438356,657,3.1606668834299656,Father of the Bride Part II (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.8365079365079366,1260,3.829362906136734,Heat (1995),Action|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3.3814285714285712,700,3.3875043135840905,Sabrina (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,3.3525641025641026,78,3.401649527003579,Tom and Huck (1995),Adventure|Children,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,3.017326732673267,202,3.083526503949942,Sudden Death (1995),Action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3.4270025839793283,1548,3.4289468624311703,GoldenEye (1995),Action|Adventure|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3.7121380846325165,898,3.706226453573692,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
12,2.6616915422885574,201,2.7743642810233182,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,3.2371794871794872,78,3.3183161936702454,Balto (1995),Adventure|Animation|Children,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,3.4126506024096384,332,3.422315328498305,Nixon (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2.710691823899371,159,2.8406251265417275,Cutthroat Island (1995),Action|Adventure|Romance,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,3.849066390041494,964,3.8394146367368074,Casino (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,3.95,1110,3.938928200803848,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,3.3223443223443225,273,3.34283217464154,Four Rooms (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.587055606198724,1097,2.612136778097947,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.8714285714285714,210,2.9536589538182776,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
21,3.6287208366854387,1243,3.6263771790387955,Get Shorty (1995),Comedy|Crime|Thriller,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,3.3613678373382623,541,3.370189402655668,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
23,3.1737089201877935,213,3.217605551096241,Assassins (1995),Action|Crime|Thriller,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,3.1568396226415096,424,3.181449667216711,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,3.702925045703839,1094,3.698290168075077,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,3.6,125,3.586310638170236,Othello (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,3.3131868131868134,91,3.366761561292451,Now and Then (1995),Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,4.054545454545455,165,3.9737340970071107,Persuasion (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,4.004464285714286,448,3.974640478904574,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
30,3.6339285714285716,56,3.597420336237053,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,3.3137044967880085,467,3.3267165974172768,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,3.9046280276816607,2312,3.8998198757115228,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,3.64728453364817,1694,3.645230944847092,Babe (1995),Children|Drama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,3.7066666666666666,75,3.6559823706322527,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,3.925138632162662,1082,3.914458767011139,Dead Man Walking (1995),Crime|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38,2.7941176470588234,34,3.1387210768185394,It Takes Two (1995),Children|Comedy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3.4120111731843576,1432,3.4144173385201,Clueless (1995),Comedy|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3.7,45,3.6317086522184874,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,3.8072289156626504,249,3.777341035542604,Richard III (1995),Drama|War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
42,3.173076923076923,130,3.2398634307274157,Dead Presidents (1995),Action|Crime|Drama,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,3.479020979020979,143,3.4877349648346043,Restoration (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2.6798892988929888,542,2.724437323280396,Mortal Kombat (1995),Action|Adventure|Fantasy,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,3.4365904365904365,481,3.442031602576099,To Die For (1995),Comedy|Drama|Thriller,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,3.2916666666666665,144,3.3326330397493478,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
47,4.078090138331103,2241,4.070840224093521,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,2.9444444444444446,684,2.969017015289057,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
50,4.370481927710843,2490,4.360467519411264,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52,3.547227926078029,487,3.5461859746932043,Mighty Aphrodite (1995),Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
54,2.9285714285714284,56,3.138118010655657,"Big Green, The (1995)",Children|Comedy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3.2454545454545456,55,3.3456252813692533,Georgia (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,3.4774436090225564,133,3.4869825086894877,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,3.9876923076923076,650,3.96746786605351,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
60,3.096989966555184,299,3.1364077474662206,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,3.427480916030534,131,3.446448129915444,Eye for an Eye (1996),Drama|Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
